team,total_matches,win_rate,draw_rate,loss_rate,avg_gf,avg_ga,avg_gd,comp_win_rate,comp_avg_gf,comp_avg_ga,recent_win_rate,recent_avg_gf,recent_avg_ga,form_score,home_win_rate,away_win_rate,neutral_win_rate,wc_appearances,wc_win_rate,wc_avg_gf,wc_avg_ga,wc_best_stage,wc_avg_best_stage,fifa_rank,fifa_points
Qatar,120,0.48333333333333334,0.20833333333333334,0.30833333333333335,1.6083333333333334,1.2583333333333333,0.35,0.5466666666666666,1.84,1.0933333333333333,0.4067796610169492,1.4406779661016949,1.4067796610169492,0.46254987129987124,0.5714285714285714,0.3157894736842105,0.4444444444444444,1,0.0,0.3333333333333333,2.3333333333333335,1,1.0,72,1350.0
Sweden,98,0.4897959183673469,0.15306122448979592,0.35714285714285715,1.5408163265306123,1.1734693877551021,0.3673469387755102,0.4461538461538462,1.5538461538461539,1.2307692307692308,0.4883720930232558,1.7906976744186047,1.4186046511627908,0.5127039627039627,0.5813953488372093,0.2972972972972973,0.6666666666666666,12,0.37254901960784315,1.5686274509803921,1.4313725490196079,5,2.75,38,1509.79
Bosnia and Herzegovina,80,0.3,0.2625,0.4375,1.1,1.4,-0.3,0.31666666666666665,1.2833333333333334,1.6,0.35135135135135137,1.2162162162162162,1.6756756756756757,0.3008866995073891,0.39473684210526316,0.225,0.0,1,0.3333333333333333,1.3333333333333333,1.3333333333333333,1,1.0,58,1420.0
Colombia,93,0.5161290322580645,0.3225806451612903,0.16129032258064516,1.5483870967741935,0.8172043010752689,0.7311827956989247,0.41379310344827586,1.3448275862068966,0.8620689655172413,0.6170212765957447,1.851063829787234,0.7659574468085106,0.5198450369956722,0.47368421052631576,0.36666666666666664,0.6363636363636364,6,0.4090909090909091,1.4545454545454546,1.3636363636363635,3,1.6666666666666667,13,1695.99
Portugal,99,0.6161616161616161,0.2222222222222222,0.16161616161616163,2.313131313131313,0.8383838383838383,1.4747474747474747,0.625,2.3,0.825,0.68,2.56,0.82,0.6363131313131313,0.7441860465116279,0.5714285714285714,0.42857142857142855,8,0.4857142857142857,1.7428571428571429,1.1714285714285715,4,2.25,5,1763.83
Cape Verde,70,0.44285714285714284,0.3,0.2571428571428571,1.2142857142857142,0.9,0.3142857142857143,0.4423076923076923,1.1153846153846154,0.8076923076923077,0.46808510638297873,1.2553191489361701,0.8936170212765957,0.44436507936507935,0.55,0.2692307692307692,0.5416666666666666,0,0.0,0.0,0.0,0,0.0,75,1330.0
Switzerland,97,0.44329896907216493,0.31958762886597936,0.23711340206185566,1.8350515463917525,1.1134020618556701,0.7216494845360825,0.4189189189189189,1.7837837837837838,1.1756756756756757,0.4166666666666667,1.6875,1.2291666666666667,0.44553571428571426,0.6153846153846154,0.2894736842105263,0.4,12,0.34146341463414637,1.3414634146341464,1.7804878048780488,3,1.9166666666666667,19,1650.75
Austria,89,0.5617977528089888,0.15730337078651685,0.2808988764044944,1.7865168539325842,1.0112359550561798,0.7752808988764045,0.5362318840579711,1.7826086956521738,1.1014492753623188,0.5454545454545454,1.9772727272727273,0.9772727272727273,0.5552426275550009,0.6046511627906976,0.5,0.625,7,0.41379310344827586,1.4827586206896552,1.6206896551724137,4,2.4285714285714284,23,1597.41
Croatia,100,0.51,0.25,0.24,1.72,1.14,0.58,0.5060240963855421,1.783132530120482,1.144578313253012,0.5510204081632653,1.7346938775510203,0.8979591836734694,0.5293073593073594,0.6857142857142857,0.46153846153846156,0.34615384615384615,6,0.43333333333333335,1.4333333333333333,1.1,5,2.6666666666666665,11,1712.24
Belgium,98,0.6428571428571429,0.1836734693877551,0.17346938775510204,2.357142857142857,0.8469387755102041,1.510204081632653,0.6582278481012658,2.4430379746835444,0.8860759493670886,0.5,2.0,0.9347826086956522,0.5959374094465373,0.7560975609756098,0.5882352941176471,0.5217391304347826,14,0.4117647058823529,1.3529411764705883,1.4509803921568627,4,2.0714285714285716,9,1739.54
Mexico,130,0.5307692307692308,0.2153846153846154,0.25384615384615383,1.523076923076923,0.9769230769230769,0.5461538461538461,0.6323529411764706,1.588235294117647,0.7058823529411765,0.4782608695652174,1.3768115942028984,0.9565217391304348,0.5178095070952213,0.6666666666666666,0.4074074074074074,0.5365853658536586,17,0.2833333333333333,1.0333333333333334,1.6833333333333333,3,1.6470588235294117,14,1687.48
Saudi Arabia,123,0.4146341463414634,0.24390243902439024,0.34146341463414637,1.1951219512195121,1.016260162601626,0.17886178861788618,0.4805194805194805,1.3246753246753247,0.961038961038961,0.391304347826087,1.0579710144927537,0.9565217391304348,0.42669975186104214,0.5675675675675675,0.3333333333333333,0.3548387096774194,6,0.21052631578947367,0.7368421052631579,2.3157894736842106,2,1.1666666666666667,56,1425.0
Spain,100,0.63,0.28,0.09,2.41,0.82,1.59,0.6385542168674698,2.397590361445783,0.8433734939759037,0.7,2.56,0.84,0.6553945074106364,0.725,0.5833333333333334,0.5416666666666666,16,0.4626865671641791,1.6119402985074627,1.1194029850746268,6,2.375,2,1873.02
New Zealand,49,0.4489795918367347,0.14285714285714285,0.40816326530612246,1.7959183673469388,0.9591836734693877,0.8367346938775511,0.68,2.76,0.6,0.425,1.95,0.95,0.44499178981937604,0.6666666666666666,0.26666666666666666,0.48,2,0.0,0.6666666666666666,2.3333333333333335,1,1.0,95,1220.0
DR Congo,79,0.3670886075949367,0.35443037974683544,0.27848101265822783,1.1139240506329113,0.8734177215189873,0.24050632911392406,0.43859649122807015,1.2280701754385965,0.7894736842105263,0.46808510638297873,1.1914893617021276,0.7021276595744681,0.37800802139037437,0.55,0.25,0.3548387096774194,1,0.0,0.0,4.666666666666667,1,1.0,45,1479.68
Panama,113,0.415929203539823,0.21238938053097345,0.37168141592920356,1.424778761061947,1.3982300884955752,0.02654867256637168,0.5194805194805194,1.7402597402597402,1.2207792207792207,0.484375,1.546875,1.21875,0.43940476190476185,0.5333333333333333,0.4,0.34210526315789475,1,0.0,0.6666666666666666,3.6666666666666665,1,1.0,34,1540.59
Uruguay,92,0.4782608695652174,0.29347826086956524,0.22826086956521738,1.423913043478261,0.8260869565217391,0.5978260869565217,0.45,1.3,0.85,0.4897959183673469,1.489795918367347,0.673469387755102,0.46383526383526386,0.7083333333333334,0.2647058823529412,0.5294117647058824,14,0.423728813559322,1.5084745762711864,1.2881355932203389,6,2.857142857142857,17,1673.07
Paraguay,77,0.2597402597402597,0.33766233766233766,0.4025974025974026,0.8961038961038961,1.2207792207792207,-0.3246753246753247,0.24,0.84,1.16,0.3170731707317073,0.8536585365853658,1.170731707317073,0.273992673992674,0.47619047619047616,0.13513513513513514,0.2631578947368421,8,0.25925925925925924,1.1111111111111112,1.4074074074074074,3,1.625,40,1503.5
Netherlands,93,0.5806451612903226,0.24731182795698925,0.17204301075268819,2.3118279569892475,0.967741935483871,1.3440860215053763,0.6103896103896104,2.3766233766233764,0.987012987012987,0.5918367346938775,2.4081632653061225,1.0612244897959184,0.5846743295019157,0.7045454545454546,0.4411764705882353,0.5333333333333333,11,0.5454545454545454,1.7454545454545454,0.9454545454545454,5,3.3636363636363638,8,1751.09
Scotland,86,0.4418604651162791,0.18604651162790697,0.37209302325581395,1.4186046511627908,1.3488372093023255,0.06976744186046512,0.5074626865671642,1.5223880597014925,1.208955223880597,0.4186046511627907,1.558139534883721,1.4651162790697674,0.4418354978354978,0.5121951219512195,0.38461538461538464,0.3333333333333333,8,0.17391304347826086,1.0869565217391304,1.7826086956521738,1,1.0,43,1499.92
