team,date,competition,opponent,venue,result,gf,ga,is_friendly
Iraq,2018-01-02,Gulf Cup,United Arab Emirates,neutral,D,0,0,False
United Arab Emirates,2018-01-02,Gulf Cup,Iraq,neutral,D,0,0,False
Estonia,2018-01-07,Friendly,Sweden,neutral,D,1,1,True
Sweden,2018-01-07,Friendly,Estonia,neutral,D,1,1,True
Denmark,2018-01-11,Friendly,Sweden,neutral,L,0,1,True
Finland,2018-01-11,Friendly,Jordan,neutral,W,2,1,True
Jordan,2018-01-11,Friendly,Finland,neutral,L,1,2,True
Sweden,2018-01-11,Friendly,Denmark,neutral,W,1,0,True
Moldova,2018-01-27,Friendly,South Korea,neutral,L,0,1,True
South Korea,2018-01-27,Friendly,Moldova,neutral,W,1,0,True
Bosnia and Herzegovina,2018-01-28,Friendly,United States,away,D,0,0,True
United States,2018-01-28,Friendly,Bosnia and Herzegovina,home,D,0,0,True
Jamaica,2018-01-30,Friendly,South Korea,neutral,D,2,2,True
South Korea,2018-01-30,Friendly,Jamaica,neutral,D,2,2,True
Bosnia and Herzegovina,2018-01-31,Friendly,Mexico,neutral,L,0,1,True
Mexico,2018-01-31,Friendly,Bosnia and Herzegovina,neutral,W,1,0,True
Latvia,2018-02-03,Friendly,South Korea,neutral,L,0,1,True
South Korea,2018-02-03,Friendly,Latvia,neutral,W,1,0,True
Moldova,2018-02-26,Friendly,Saudi Arabia,away,L,0,3,True
Saudi Arabia,2018-02-26,Friendly,Moldova,home,W,3,0,True
Iraq,2018-02-28,Friendly,Saudi Arabia,home,W,4,1,True
Saudi Arabia,2018-02-28,Friendly,Iraq,away,L,1,4,True
Iran,2018-03-17,Friendly,Sierra Leone,home,W,4,0,True
Sierra Leone,2018-03-17,Friendly,Iran,away,L,0,4,True
Angola,2018-03-21,Friendly,South Africa,neutral,D,1,1,True
Iraq,2018-03-21,Friendly,Qatar,home,L,2,3,True
Jordan,2018-03-21,Friendly,Kuwait,home,W,1,0,True
Kuwait,2018-03-21,Friendly,Jordan,away,L,0,1,True
Qatar,2018-03-21,Friendly,Iraq,away,W,3,2,True
South Africa,2018-03-21,Friendly,Angola,neutral,D,1,1,True
Algeria,2018-03-22,Friendly,Tanzania,home,W,4,1,True
Denmark,2018-03-22,Friendly,Panama,home,W,1,0,True
Panama,2018-03-22,Friendly,Denmark,away,L,0,1,True
Tanzania,2018-03-22,Friendly,Algeria,away,L,1,4,True
Argentina,2018-03-23,Friendly,Italy,neutral,W,2,0,True
Australia,2018-03-23,Friendly,Norway,away,L,1,4,True
Austria,2018-03-23,Friendly,Slovenia,home,W,3,0,True
Bolivia,2018-03-23,Friendly,Curacao,away,D,1,1,True
Bosnia and Herzegovina,2018-03-23,Friendly,Bulgaria,away,W,1,0,True
Brazil,2018-03-23,Friendly,Russia,away,W,3,0,True
Bulgaria,2018-03-23,Friendly,Bosnia and Herzegovina,home,L,0,1,True
Colombia,2018-03-23,Friendly,France,away,W,3,2,True
