team,date,competition,opponent,venue,result,gf,ga,is_friendly
Iraq,2018-01-02,Gulf Cup,United Arab Emirates,neutral,D,0,0,False
United Arab Emirates,2018-01-02,Gulf Cup,Iraq,neutral,D,0,0,False
Jordan,2018-03-27,AFC Asian Cup qualification,Vietnam,home,D,1,1,False
Vietnam,2018-03-27,AFC Asian Cup qualification,Jordan,away,D,1,1,False
Kenya,2018-06-02,Intercontinental Cup,New Zealand,neutral,W,2,1,False
New Zealand,2018-06-02,Intercontinental Cup,Kenya,neutral,L,1,2,False
Madagascar,2018-06-03,COSAFA Cup,South Africa,away,D,0,0,False
South Africa,2018-06-03,COSAFA Cup,Madagascar,home,D,0,0,False
Namibia,2018-06-05,COSAFA Cup,South Africa,away,L,1,4,False
New Zealand,2018-06-05,Intercontinental Cup,Taiwan,neutral,W,1,0,False
South Africa,2018-06-05,COSAFA Cup,Namibia,home,W,4,1,False
Taiwan,2018-06-05,Intercontinental Cup,New Zealand,neutral,L,0,1,False
India,2018-06-07,Intercontinental Cup,New Zealand,home,L,1,2,False
New Zealand,2018-06-07,Intercontinental Cup,India,away,W,2,1,False
Botswana,2018-06-08,COSAFA Cup,South Africa,away,L,0,3,False
South Africa,2018-06-08,COSAFA Cup,Botswana,home,W,3,0,False
Russia,2018-06-14,FIFA World Cup,Saudi Arabia,home,W,5,0,False
Saudi Arabia,2018-06-14,FIFA World Cup,Russia,away,L,0,5,False
Egypt,2018-06-15,FIFA World Cup,Uruguay,neutral,L,0,1,False
Iran,2018-06-15,FIFA World Cup,Morocco,neutral,W,1,0,False
Morocco,2018-06-15,FIFA World Cup,Iran,neutral,L,0,1,False
Portugal,2018-06-15,FIFA World Cup,Spain,neutral,D,3,3,False
Spain,2018-06-15,FIFA World Cup,Portugal,neutral,D,3,3,False
Uruguay,2018-06-15,FIFA World Cup,Egypt,neutral,W,1,0,False
Argentina,2018-06-16,FIFA World Cup,Iceland,neutral,D,1,1,False
Australia,2018-06-16,FIFA World Cup,France,neutral,L,1,2,False
Croatia,2018-06-16,FIFA World Cup,Nigeria,neutral,W,2,0,False
France,2018-06-16,FIFA World Cup,Australia,neutral,W,2,1,False
Iceland,2018-06-16,FIFA World Cup,Argentina,neutral,D,1,1,False
Nigeria,2018-06-16,FIFA World Cup,Croatia,neutral,L,0,2,False
Brazil,2018-06-17,FIFA World Cup,Switzerland,neutral,D,1,1,False
Germany,2018-06-17,FIFA World Cup,Mexico,neutral,L,0,1,False
Mexico,2018-06-17,FIFA World Cup,Germany,neutral,W,1,0,False
Switzerland,2018-06-17,FIFA World Cup,Brazil,neutral,D,1,1,False
Belgium,2018-06-18,FIFA World Cup,Panama,neutral,W,3,0,False
England,2018-06-18,FIFA World Cup,Tunisia,neutral,W,2,1,False
Panama,2018-06-18,FIFA World Cup,Belgium,neutral,L,0,3,False
South Korea,2018-06-18,FIFA World Cup,Sweden,neutral,L,0,1,False
