year,stage,home_team,away_team,home_score,away_score
1930,group,France,Mexico,4,1
1930,group,Argentina,France,1,0
1930,group,Chile,Mexico,3,0
1930,group,Chile,France,1,0
1930,group,Argentina,Mexico,6,3
1930,group,Argentina,Chile,3,1
1930,group,Yugoslavia,Brazil,2,1
1930,group,Yugoslavia,Bolivia,4,0
1930,group,Brazil,Bolivia,4,0
1930,group,Romania,Peru,3,1
1930,group,Uruguay,Peru,1,0
1930,group,Uruguay,Romania,4,0
1930,group,United States,Belgium,3,0
1930,group,United States,Paraguay,3,0
1930,group,Paraguay,Belgium,1,0
1930,knockout,Argentina,United States,6,1
1930,knockout,Uruguay,Yugoslavia,6,1
1930,knockout,Uruguay,Argentina,4,2
1934,knockout,Spain,Brazil,3,1
1934,knockout,Hungary,Egypt,4,2
1934,knockout,Switzerland,Netherlands,3,2
1934,knockout,Italy,United States,7,1
1934,knockout,Czechoslovakia,Romania,2,1
1934,knockout,Sweden,Argentina,3,2
1934,knockout,Austria,France,3,2
1934,knockout,Germany,Belgium,5,2
1934,knockout,Austria,Hungary,2,1
1934,knockout,Italy,Spain,1,1
1934,knockout,Germany,Sweden,2,1
1934,knockout,Czechoslovakia,Switzerland,3,2
1934,knockout,Italy,Spain,1,0
1934,knockout,Italy,Austria,1,0
1934,knockout,Czechoslovakia,Germany,3,1
1934,knockout,Germany,Austria,3,2
1934,knockout,Italy,Czechoslovakia,2,1
1938,knockout,Switzerland,Germany,1,1
1938,knockout,Hungary,Dutch East Indies,6,0
1938,knockout,Sweden,Austria,,
1938,knockout,Cuba,Romania,3,3
1938,knockout,France,Belgium,3,1
1938,knockout,Italy,Norway,2,1
1938,knockout,Brazil,Poland,6,5
1938,knockout,Czechoslovakia,Netherlands,3,0
1938,knockout,Switzerland,Germany,4,2
1938,knockout,Cuba,Romania,2,1
1938,knockout,Hungary,Switzerland,2,0
1938,knockout,Sweden,Cuba,8,0
1938,knockout,Italy,France,3,1
1938,knockout,Brazil,Czechoslovakia,1,1
1938,knockout,Brazil,Czechoslovakia,2,1
1938,knockout,Hungary,Sweden,5,1
1938,knockout,Italy,Brazil,2,1
1938,knockout,Brazil,Sweden,4,2
1938,knockout,Italy,Hungary,4,2
1950,group,Brazil,Mexico,4,0
1950,group,Yugoslavia,Switzerland,3,0
1950,group,Brazil,Switzerland,2,2
1950,group,Yugoslavia,Mexico,4,1
1950,group,Brazil,Yugoslavia,2,0
1950,group,Switzerland,Mexico,2,1
1950,group,England,Chile,2,0
1950,group,Spain,United States,3,1
1950,group,Spain,Chile,2,0
1950,group,United States,England,1,0
1950,group,Spain,England,1,0
1950,group,Chile,United States,5,2
1950,group,Sweden,Italy,3,2
1950,group,Sweden,Paraguay,2,2
1950,group,Italy,Paraguay,2,0
1950,group,Uruguay,Bolivia,8,0
1950,group,Uruguay,Spain,2,2
1950,group,Brazil,Sweden,7,1
1950,group,Brazil,Spain,6,1
1950,group,Uruguay,Sweden,3,2
1950,group,Sweden,Spain,3,1
1950,group,Uruguay,Brazil,2,1
1954,group,Brazil,Mexico,5,0
1954,group,Yugoslavia,France,1,0
1954,group,Brazil,Yugoslavia,1,1
1954,group,France,Mexico,3,2
1954,group,West Germany,Turkey,4,1
1954,group,Hungary,South Korea,9,0
1954,group,Hungary,West Germany,8,3
1954,group,Turkey,South Korea,7,0
1954,knockout,West Germany,Turkey,7,2
1954,group,Uruguay,Czechoslovakia,2,0
1954,group,Austria,Scotland,1,0
1954,group,Uruguay,Scotland,7,0
1954,group,Austria,Czechoslovakia,5,0
1954,group,Switzerland,Italy,2,1
1954,group,England,Belgium,4,4
1954,group,Italy,Belgium,4,1
1954,group,England,Switzerland,2,0
1954,knockout,Switzerland,Italy,4,1
1954,knockout,Austria,Switzerland,7,5
1954,knockout,Uruguay,England,4,2
1954,knockout,West Germany,Yugoslavia,2,0
1954,knockout,Hungary,Brazil,4,2
